hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
273,.14889167,.4329273,.0001744,.8927641,12981,.2331336,.9232076,4.433157,.0549424,.0028354,908.2048,-908.2048,.1525424,-.1522292,75,5
276,0,.0981951,.0009104,.9081295,1935,.3537983,.8901209,2.898282,.038958,.1407429,-5.233042,5.233044,-.7154292,-1.506023,14,5
277,4.469e-34,.4485768,-.0071056,.9165332,5016,.332688,1.055043,4.230961,.0339725,-.122154,-1065.412,1065.412,.5311533,-.0834922,30,5
278,.00003257,.452722,.0021973,.915148,9540,.3210179,1.142868,4.57268,.0386792,.0415208,-896.0184,896.0184,-1.488306,-2.085607,39,5
279,.29233906,.251547,.0005506,.8951273,3345,.3518919,.9727244,3.029136,.0278518,.0394341,-40.59458,40.59456,.0191265,-.2192674,15,5
281,.90918135,.2499953,.0003535,.9229087,880,.1812891,5.283437,17.4484,.0381433,.0216213,33.88459,-33.8846,.6067566,-3.798312,29,5
282,7.632e-14,.4777832,-.0009291,.9093063,4403,.0718667,.9179364,3.668389,.0474252,-.0107365,-361.9639,361.9639,-.0244995,-.4618285,62,5
283,2.751e-21,.4320991,-.01013,.9012866,18800,.1595167,.919427,4.707087,.0414626,-.1071422,-3743.468,3743.468,-2.273489,-2.672361,175,5
284,5.617e-16,.3825692,-.0019198,.9041227,3556,.0614954,2.581903,18.07761,.0395907,-.0354961,-282.6004,282.6004,.0300257,-.3784448,124,5
285,.63656243,.3866291,.0001374,.9086094,3196,.1878181,1.620098,18.85039,.0329589,.0027109,-233.6661,233.6661,-.186665,-.8765931,146,5
288,.50393578,.3743603,-.0005556,.9047124,3102,.1919392,1.110248,5.115365,.0337251,-.008293,-117.7756,117.7756,.1923341,-.0627478,120,5
289,4.549e-20,.3392859,-2.22e-06,.9023124,1533,-.0040596,2.436242,17.49918,.037068,-.0000596,23.02191,-23.0219,.9720066,1.612736,118,5
291,.86116059,.2720993,.0015428,.8955174,1237,-.0083195,2.299656,17.15395,.0383741,.0668954,20.82064,-20.82065,-1.811734,-1.198381,92,5
292,.31336087,.385518,-.0016305,.9092713,1916,.0239716,3.192728,19.04557,.0314193,-.0371962,-79.58578,79.58578,-.1919622,-.5193529,99,5
295,.23692721,.4329361,-.0007315,.906496,7705,-.0504465,4.561567,17.64154,.0307958,-.0098879,458.3051,-458.3051,-.4400426,-.1960195,100,5
296,8.197e-17,.2818974,-.0006371,.9034617,1585,.1092477,1.149392,4.3588,.0286342,-.0318516,-76.84933,76.84933,-.5522224,-.3683037,26,5
